SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
2559,1,0.3,24,15,0.015,0,0,0,0.11,0.027,21,0.13,0.83,0.052,0.022,2.553,12.5,55.1,34.9,27.3,45,9.46,35,2,0,6.5,1,1
2560,1,0.8,36,15,0.028,1,0.889,0.036,0.21,0.137,20,0.1,6.364,0.439,0.136,14.167,11.6,46.7,12,24.2,64,27.433,53,7,5,14.5,1,1
2561,2,0.5,24,15,0.025,0,0,0,0.222,0.09,11,0.05,0.862,0.605,0.232,14.907,7.2,27.2,40.5,33.2,33,3.85,41,5,3,14.5,1,1
2562,1,0.5,24,15,0.025,0,0,0,0.16,0.07,5,0.05,0.777,0.596,0.032,8.016,10.5,29.4,44.8,38.7,44,2.394,43,1,4,14,1,1
2563,2,0.8,36,15,0.028,0,0,0,0.171,0.057,12,0.073,2.041,0.501,0.154,7.124,9.6,49.3,33.5,30.4,59,7.83,45,3,4,14.5,1,1
2564,2,0.7,36,15,0.025,0,0,0,2.005,0.13,19,0.15,1.689,1.801,0.499,18.397,8.5,18.9,23.4,13.6,38,17.734,40,8,4,13.5,1,1
2565,2,0.8,36,15,0.028,0,0,0,0,0,0,0.2,3.425,1.685,0.366,21.147,11.4,14,16.9,16.2,0,0,0,0,0,0,0,0
2566,1,0.8,36,15,0.028,0,0,0,0,0.062,17,0.23,2.72,0.615,0.13,2.716,27.2,45.4,25,23.3,45,16.3,40,4,5,15,1,1
2570,2,0.8,8,15,0.01,1,0.715,0.035,0.55,0.105,9,0,4.99,1.239,0,16.527,7.6,9.5,12.8,11.8,35,10.063,33,4,3,15.5,1,1
2572,1,0.8,36,14,0.028,0,0,0,0.16,0.147,24,0.75,3.58,0.35,0.085,8.62,20.4,18.8,20.8,16.8,42,6.27,42,10,4,13,0,0
2576,2,0.5,24,15,0.025,0,0,0,0.104,0.053,6,0.1,0.67,0.17,0.05,3.866,16.6,45.9,63.3,50.3,30,10,49,10,4,11.5,1,1
2582,1,0.3,24,15,0.015,0,0,0,0.16,0.037,10,0.12,0.46,0.045,0.015,0.368,119.6,40.1,61.2,39,40,5.456,38,2,3,13.5,1,1
2583,1,0.1,18,15,0.006,0,0,0,0.095,0.012,14,0.085,0.2,0.045,0.025,3.05,4.7,52.6,45.5,25,42,0.805,46,2,4,11.5,1,1
2585,2,0.8,9,15,0.01,0,0,0,0.397,0.086,12,0.05,1.435,0.766,0.232,11.754,8.8,11.7,40.6,39.6,31,5.95,43,4,3,14.5,1,1
2586,1,0.150008,24,15,0.007,0,0,0,0.052,0.015,6,0.1,0.425,0.043,0.025,5.05,3.5,49.8,33.9,25.2,28,0.893,56,1,4,12,1,1
2587,2,0.8,36,14,0.028,0.5,0.283,0.018,0.211,0.263,22,0.1,2.676,2.419,0.441,34.082,9.3,17.5,17.2,21.8,57,30.639,36,6,4,13,1,1
2588,1,0.5,24,10,0.004,0,0,0,0.15,0.091,3,0.125,1.128,0,0,8.65,12.6,4.6,44.3,35.6,42,9.458,34,1,5,13,1,1
2589,2,0.8,9,15,0.01,0,0,0,0.788,0.079,9,0.05,1.769,1.4,0.41,14.843,6.4,12.7,29,22.2,36,13.6,39,28,2,16,1,1
2590,2,0.8,36,15,0.028,0.6,0.058,0.029,0.356,0.111,15,0.25,2.166,0,0,7.12,14.3,67.5,39.6,31,37,9.958,40,13,4,14.5,1,1
2591,1,0.2,18,15,0.013,0,0,0,0.009,0.013,19,0.04,0.3,0.06,0.025,3.6,4.4,94.6,59.7,52.2,59,1.375,38,1,4,11,1,1
2593,2,0.2,24,15,0.01,0,0,0,0.648,0.042,8,0.2,2.25,0.41,0.065,21.25,2.4,23.5,7.7,5.8,23,3.7,31,8,3.5,14,1,1
